model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
surgvlp,instrument,0.2703652435809184,0.6754874782080664,0.2607843137254902,0.22552370097319083,0.2607843137254902,0.23372639795678074,"[[ 7  1  1  2  1  0  1  3  1  2  8  5]
 [ 1  1  2  1  1  2  0  0  0  2 11  4]
 [ 3  0  1  1  0  1  0  4  1  7  3  2]
 [ 2  2  1  0  1  1  1  6  3  5 11  2]
 [ 0  1  1  0  3  2  1  0  0  4  4  5]
 [ 2  4  0  1  1  6  1  3  1  9  6  3]
 [ 4  1  0  3  0  2  6  2  2  3  6  3]
 [ 2  1  1  2  0  1  0 15  4  2  5  0]
 [ 1  0  2  1  0  1  1  7 17  3  5  0]
 [ 4  1  1  1  3  4  1  6  3 20 22  3]
 [ 2  6  4  1  3  1  2  8  2 12 39 20]
 [ 4  2  0  1  3  4  2  1  1  9 20 18]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('8_retractor_locking_liver_alice'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('4_sucker_instrument_right_hand'), np.str_('10_clip_foley_clips_weck'), np.str_('3_scissors_driver_scissor_needle'), np.str_('6_4th_arm__'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('2_needle_needles_sutures_clips'), np.str_('0_left_hand_camera_arm'), np.str_('None'), np.str_('1_electrocautery_energy_devices_device')]"
surgvlp,action,0.08227718407936244,0.6057501069471758,0.08238435284190375,0.08587365033657753,0.08238435284190375,0.08085471740881735,"[[5 2 0 ... 4 0 1]
 [1 4 0 ... 2 1 0]
 [0 3 1 ... 3 0 1]
 ...
 [6 4 2 ... 5 3 3]
 [2 4 0 ... 2 4 0]
 [1 0 1 ... 0 1 3]]","[np.str_('24_lift_hold_advance_up'), np.str_('19_closer_close_let_come'), np.str_('13_careful_be_rip_gentle'), np.str_('18_stay_right_keep_remain'), np.str_('33_retract_switch_bring_down'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('26_clean_follow_burn_coagulate'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('9_cut_cutting_cold_scrape'), np.str_('1_pull_grab_drop_regrab'), np.str_('34_move_wrist_smaller_hand'), np.str_('5_side_lateral_the_other'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('14_off_leave_out_right'), np.str_('27_release_clip_releasing_sneak'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('11_open_up_press_spread'), np.str_('29_work_zoom_working_focused'), np.str_('36_look_control_inspect_examine'), np.str_('22_cinch_down_slide_over'), np.str_('4_take_watch_do_it'), np.str_('6_higher_slow_go_below'), np.str_('38_show_expose_present_define'), np.str_('37_put_drain_cover_snip'), np.str_('30_tie_break_hook_tuck'), np.str_('12_turn_rotate_flip_round'), np.str_('31_pull_pulling_neutral_closing'), np.str_('35_stick_get_not_defat'), np.str_('21_find_care_connect_identify'), np.str_('8_grab_swipe_scoop_lower'), np.str_('10_stop_wait_short_'), np.str_('28_start_run_top_from'), np.str_('15_through_don_do_strangulate'), np.str_('7_open_see_apply_completely'), np.str_('17_go_along_anchor_change'), np.str_('32_sure_make_know_check'), np.str_('2_back_travel_bit_little'), np.str_('23_push_pull_more_tight'), np.str_('20_in_ahead_inside_get')]"
surgvlp,tissue,0.30046330518173436,0.7422941994344573,0.2826187015503876,0.280510456383257,0.2826187015503876,0.2717680974537484,"[[27  1  2  5  1  0  2  1  9  2 13  1  0  1  9]
 [ 0  8  2  0  1  0  0  4  2  2  7  0  0  3  0]
 [ 4  3  7  0  0  0  6  2  1  0  6  0  0  2  6]
 [ 7  0  0 19  4  0  1  1  4  1  9  2  1  0  0]
 [ 3  0  0  4  6  0  0  0  1  0  6  0  1  0  0]
 [ 0  0  0  0  0 15  0  0  0  2  3  7  1  0  5]
 [ 0  0  4  5  0  1  6  1  0  0  4  0  0  0  4]
 [ 1  4  0  0  1  0  2  9  0  0  6  0  1  0  1]
 [ 5  6  0  6  1  2  2  0  4  0  7  3  3  1  3]
 [ 2  2  2  1  0  1  0  0  2  9  7  2  0  2  3]
 [ 9  5  8 12  4  5  3  8 10  5 11  7  1  0 12]
 [ 5  0  0  3  1  5  1  0  4  2  8 12  0  0  1]
 [ 0  0  0  2  0  1  1  0  0  1  4  0  5  0 11]
 [ 3  2  2  1  1  1  1  0  0  1  2  0  1  3  5]
 [ 4  0  4  0  1  4  2  0  1  5 12  1  7  3 41]]","[np.str_('0_vein_veins_complex_dorsal'), np.str_('9_urethra_dvc_edge_'), np.str_('5_bladder_catheter_on_needle'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('14_artery_cava_sac_iliac'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('3_tissue_adrenal_gland_node'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('None'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('10_structure_lateral_anterior_median'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('6_prostate_side_apex_apical')]"
hecvl,instrument,0.2456078512975953,0.6818249724132077,0.24117647058823533,0.2078965211086483,0.24117647058823533,0.20802854822557176,"[[ 2  0  0  0  1  1  0  5  4  4  7  8]
 [ 0  1  0  2  0  0  1  0  0  1 14  6]
 [ 1  1  1  1  0  0  2  3  7  2  2  3]
 [ 1  2  0  0  1  1  1  6  6  3 10  4]
 [ 1  0  0  0  2  1  0  0  0  4  6  7]
 [ 0  3  0  0  4  3  2  3  2  4  7  9]
 [ 1  0  1  2  0  1  6  2  4  4  9  2]
 [ 1  1  0  0  0  1  0 12 11  1  6  0]
 [ 1  0  3  0  0  0  0  8 17  2  5  2]
 [ 1  1  3  0  2  1  3  4  4 24 16 10]
 [ 2  2  0  5  2  3  6 10  5  9 31 25]
 [ 2  3  1  2  2  3  1  1  1  9 16 24]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('8_retractor_locking_liver_alice'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('4_sucker_instrument_right_hand'), np.str_('10_clip_foley_clips_weck'), np.str_('3_scissors_driver_scissor_needle'), np.str_('6_4th_arm__'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('2_needle_needles_sutures_clips'), np.str_('0_left_hand_camera_arm'), np.str_('None'), np.str_('1_electrocautery_energy_devices_device')]"
hecvl,action,0.07882036209081374,0.6026329502396707,0.08690318761728441,0.08156771906503156,0.08690318761728441,0.08232561364670074,"[[0 2 5 ... 2 0 1]
 [1 5 1 ... 3 0 0]
 [0 2 1 ... 1 0 1]
 ...
 [4 5 1 ... 6 4 2]
 [0 2 0 ... 6 3 1]
 [0 3 1 ... 0 0 2]]","[np.str_('24_lift_hold_advance_up'), np.str_('19_closer_close_let_come'), np.str_('13_careful_be_rip_gentle'), np.str_('18_stay_right_keep_remain'), np.str_('33_retract_switch_bring_down'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('26_clean_follow_burn_coagulate'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('9_cut_cutting_cold_scrape'), np.str_('1_pull_grab_drop_regrab'), np.str_('34_move_wrist_smaller_hand'), np.str_('5_side_lateral_the_other'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('14_off_leave_out_right'), np.str_('27_release_clip_releasing_sneak'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('11_open_up_press_spread'), np.str_('29_work_zoom_working_focused'), np.str_('36_look_control_inspect_examine'), np.str_('22_cinch_down_slide_over'), np.str_('4_take_watch_do_it'), np.str_('6_higher_slow_go_below'), np.str_('38_show_expose_present_define'), np.str_('37_put_drain_cover_snip'), np.str_('30_tie_break_hook_tuck'), np.str_('12_turn_rotate_flip_round'), np.str_('31_pull_pulling_neutral_closing'), np.str_('35_stick_get_not_defat'), np.str_('21_find_care_connect_identify'), np.str_('8_grab_swipe_scoop_lower'), np.str_('10_stop_wait_short_'), np.str_('28_start_run_top_from'), np.str_('15_through_don_do_strangulate'), np.str_('7_open_see_apply_completely'), np.str_('17_go_along_anchor_change'), np.str_('32_sure_make_know_check'), np.str_('2_back_travel_bit_little'), np.str_('23_push_pull_more_tight'), np.str_('20_in_ahead_inside_get')]"
hecvl,tissue,0.3301305804393274,0.7617000022917759,0.3011991279069767,0.2966281299998518,0.3011991279069767,0.28938189360829814,"[[25  1  4  6  3  1  0  1  7  4 12  5  0  0  5]
 [ 2  9  2  0  1  0  0  3  3  1  5  0  0  2  1]
 [ 6  3  7  0  0  0  6  2  0  1  6  0  0  1  5]
 [ 2  0  1 27  4  0  0  0  1  2  8  3  0  1  0]
 [ 4  0  0  4  8  0  0  0  0  0  3  1  1  0  0]
 [ 1  0  0  0  0 15  0  0  5  1  3  5  1  0  2]
 [ 1  0  6  3  0  1  1  0  0  0  5  1  0  1  6]
 [ 0  2  2  1  0  0  1 11  0  0  6  0  1  0  1]
 [ 8  5  0  4  0  3  0  0  8  0  6  2  1  1  5]
 [ 4  2  1  3  0  2  0  0  0  9  3  3  0  1  5]
 [15  6  4  6  4  5  5  3 10  7 19  7  0  0  9]
 [ 3  0  2  0  1  5  1  1  2  2 10 12  0  0  3]
 [ 1  0  0  0  0  1  1  1  0  0  3  0  5  0 13]
 [ 1  4  3  0  1  0  0  1  1  1  0  1  1  2  7]
 [ 5  2  5  0  0  3  4  0  2  5 11  1  7  4 36]]","[np.str_('0_vein_veins_complex_dorsal'), np.str_('9_urethra_dvc_edge_'), np.str_('5_bladder_catheter_on_needle'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('14_artery_cava_sac_iliac'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('3_tissue_adrenal_gland_node'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('None'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('10_structure_lateral_anterior_median'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('6_prostate_side_apex_apical')]"
peskavlp,instrument,0.2805554770274665,0.6806535376388319,0.24117647058823527,0.25071081038254595,0.24117647058823527,0.22840795887960025,"[[ 4  1  1  1  0  2  6  1  3  4  5  4]
 [ 0  4  0  1  0  2  2  0  0  3  8  5]
 [ 0  0  6  1  0  1  1  3  3  3  3  2]
 [ 1  3  1  3  0  2  4  5  2  4  7  3]
 [ 1  0  1  0  4  2  3  0  0  2  5  3]
 [ 2  2  1  2  1 10  3  0  1  5  7  3]
 [ 3  2  1  0  0  1 10  0  3  4  3  5]
 [ 3  1  3  1  0  1  0  8  4  5  7  0]
 [ 3  0  6  3  0  0  2  1 15  4  3  1]
 [ 4  3  6  1  4  4  7  1  4 13 14  8]
 [10  5  5  4  3  9  8  6  0 10 25 15]
 [ 7  1  3  1  3  4  3  1  1  3 17 21]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('8_retractor_locking_liver_alice'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('4_sucker_instrument_right_hand'), np.str_('10_clip_foley_clips_weck'), np.str_('3_scissors_driver_scissor_needle'), np.str_('6_4th_arm__'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('2_needle_needles_sutures_clips'), np.str_('0_left_hand_camera_arm'), np.str_('None'), np.str_('1_electrocautery_energy_devices_device')]"
peskavlp,action,0.08431732069205958,0.6020766114171966,0.08991448470422288,0.0892897454910406,0.08991448470422288,0.08684156240091775,"[[1 0 0 ... 2 0 1]
 [3 3 1 ... 0 4 0]
 [0 2 1 ... 2 0 0]
 ...
 [3 2 1 ... 9 4 1]
 [0 2 0 ... 5 4 1]
 [2 1 1 ... 0 1 2]]","[np.str_('24_lift_hold_advance_up'), np.str_('19_closer_close_let_come'), np.str_('13_careful_be_rip_gentle'), np.str_('18_stay_right_keep_remain'), np.str_('33_retract_switch_bring_down'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('26_clean_follow_burn_coagulate'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('9_cut_cutting_cold_scrape'), np.str_('1_pull_grab_drop_regrab'), np.str_('34_move_wrist_smaller_hand'), np.str_('5_side_lateral_the_other'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('14_off_leave_out_right'), np.str_('27_release_clip_releasing_sneak'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('11_open_up_press_spread'), np.str_('29_work_zoom_working_focused'), np.str_('36_look_control_inspect_examine'), np.str_('22_cinch_down_slide_over'), np.str_('4_take_watch_do_it'), np.str_('6_higher_slow_go_below'), np.str_('38_show_expose_present_define'), np.str_('37_put_drain_cover_snip'), np.str_('30_tie_break_hook_tuck'), np.str_('12_turn_rotate_flip_round'), np.str_('31_pull_pulling_neutral_closing'), np.str_('35_stick_get_not_defat'), np.str_('21_find_care_connect_identify'), np.str_('8_grab_swipe_scoop_lower'), np.str_('10_stop_wait_short_'), np.str_('28_start_run_top_from'), np.str_('15_through_don_do_strangulate'), np.str_('7_open_see_apply_completely'), np.str_('17_go_along_anchor_change'), np.str_('32_sure_make_know_check'), np.str_('2_back_travel_bit_little'), np.str_('23_push_pull_more_tight'), np.str_('20_in_ahead_inside_get')]"
peskavlp,tissue,0.32489972912534715,0.7516314589365299,0.31976744186046513,0.32454626998513536,0.31976744186046513,0.31211333774874417,"[[31  2  3  5  0  0  0  1  3  3 12  5  1  0  8]
 [ 3 12  3  0  0  0  0  1  6  0  2  0  0  2  0]
 [ 2  4  8  2  0  0  5  1  0  1  8  1  0  2  3]
 [ 3  0  0 26  1  0  0  0  4  2 10  1  1  1  0]
 [ 5  0  1  4  5  0  0  0  0  0  4  1  1  0  0]
 [ 0  0  0  0  0 15  0  0  1  1  6  5  1  0  4]
 [ 0  0  5  4  0  1  3  0  0  1  5  1  0  0  5]
 [ 0  2  1  2  0  0  1 11  0  1  6  0  0  0  1]
 [ 6  3  0  3  3  1  1  0 10  0  8  3  1  1  3]
 [ 4  1  1  1  0  4  0  2  1  5  6  1  0  1  6]
 [14  3  6  8  5  8  3  6  7  6 18  6  2  1  7]
 [ 4  0  1  1  0  7  1  0  3  1  8 15  0  0  1]
 [ 1  0  0  2  0  1  0  0  0  0  3  1  6  0 11]
 [ 1  3  3  1  0  0  0  1  1  2  0  1  2  1  7]
 [ 6  1  5  0  0  4  3  1  1  6  9  1  4  4 40]]","[np.str_('0_vein_veins_complex_dorsal'), np.str_('9_urethra_dvc_edge_'), np.str_('5_bladder_catheter_on_needle'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('14_artery_cava_sac_iliac'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('3_tissue_adrenal_gland_node'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('None'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('10_structure_lateral_anterior_median'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('6_prostate_side_apex_apical')]"
