model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
surgvlp,instrument,0.8412657927249982,0.6527374216150532,0.8497730282687126,0.8189677667725705,0.8497730282687126,0.8331804451741306,"[[   0    0    0    0    0    0    0   31    0    0    1    0]
 [   0    3    0    1    1    0    0   17    0    0    1    0]
 [   0    0    0    0    0    0    1   62    1    1    0    0]
 [   0    0    0    0    0    1    1   32    0    1    0    0]
 [   0    3    0    0    0    1    1   32    0    1    0    0]
 [   0    0    0    1    1    2    0   28    0    1    0    0]
 [   0    0    0    0    1    0    3   32    0    0    0    1]
 [  19   15   38   19   16   18   18 3430   13   29   14   15]
 [   0    0    1    0    0    1    0   18    1    0    0    0]
 [   0    0    1    0    0    0    0   62    1    5    0    0]
 [   1    0    2    0    0    0    0   27    0    1    1    0]
 [   0    0    0    0    0    0    1   23    0    1    0    0]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('1_electrocautery_energy_devices_device'), np.str_('4_sucker_instrument_right_hand'), np.str_('2_needle_needles_sutures_clips'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('3_scissors_driver_scissor_needle'), np.str_('None'), np.str_('10_clip_foley_clips_weck'), np.str_('0_left_hand_camera_arm'), np.str_('6_4th_arm__'), np.str_('8_retractor_locking_liver_alice')]"
surgvlp,action,0.33945037049182686,0.5863896343989048,0.36592775041050907,0.3310738344840646,0.36592775041050907,0.34656451602526295,"[[2 0 0 ... 1 0 2]
 [0 1 0 ... 1 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 3 0]
 [1 1 0 ... 1 0 0]]","[np.str_('8_grab_swipe_scoop_lower'), np.str_('32_sure_make_know_check'), np.str_('21_find_care_connect_identify'), np.str_('31_pull_pulling_neutral_closing'), np.str_('20_in_ahead_inside_get'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('6_higher_slow_go_below'), np.str_('35_stick_get_not_defat'), np.str_('27_release_clip_releasing_sneak'), np.str_('29_work_zoom_working_focused'), np.str_('7_open_see_apply_completely'), np.str_('37_put_drain_cover_snip'), np.str_('34_move_wrist_smaller_hand'), np.str_('38_show_expose_present_define'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('1_pull_grab_drop_regrab'), np.str_('17_go_along_anchor_change'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('10_stop_wait_short_'), np.str_('4_take_watch_do_it'), np.str_('24_lift_hold_advance_up'), np.str_('2_back_travel_bit_little'), np.str_('36_look_control_inspect_examine'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('18_stay_right_keep_remain'), np.str_('15_through_don_do_strangulate'), np.str_('19_closer_close_let_come'), np.str_('14_off_leave_out_right'), np.str_('30_tie_break_hook_tuck'), np.str_('23_push_pull_more_tight'), np.str_('26_clean_follow_burn_coagulate'), np.str_('9_cut_cutting_cold_scrape'), np.str_('22_cinch_down_slide_over'), np.str_('33_retract_switch_bring_down'), np.str_('11_open_up_press_spread'), np.str_('5_side_lateral_the_other'), np.str_('28_start_run_top_from'), np.str_('12_turn_rotate_flip_round'), np.str_('13_careful_be_rip_gentle')]"
surgvlp,tissue,0.7876656838342588,0.6642595457063379,0.8031637900776755,0.7675534932086254,0.8031637900776755,0.7835453455955459,"[[   9    0    0    1    0   74    0    0    0    1    0    0    0    0
     0]
 [   2    0    1    1    0   31    0    0    0    0    2    0    0    0
     0]
 [   0    0    0    0    0   22    0    0    0    0    1    0    0    0
     0]
 [   1    0    0    2    0   22    0    0    0    0    0    0    0    0
     0]
 [   0    0    0    0    4   21    0    0    0    0    0    0    0    0
     0]
 [  40   13   12   12   15 3216   27   11   18    7   15   23   30   48
    18]
 [   0    0    0    0    0   30    0    0    1    0    0    2    0    0
     0]
 [   0    0    0    0    0   20    0    0    0    0    0    0    1    0
     0]
 [   2    0    0    0    0   29    0    0    1    1    0    0    0    0
     0]
 [   2    0    0    0    0   21    0    0    1    1    0    0    0    0
     0]
 [   0    0    1    1    0   20    0    0    0    0    7    0    0    0
     0]
 [   0    0    0    0    0   36    1    0    0    0    0    5    0    0
     0]
 [   0    0    0    2    0   39    0    1    0    0    0    1    6    0
     0]
 [   0    0    0    0    0   73    0    0    0    0    0    0    0    0
     1]
 [   0    0    1    0    0   38    1    0    0    0    0    1    1    0
     1]]","[np.str_('6_prostate_side_apex_apical'), np.str_('5_bladder_catheter_on_needle'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('None'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('14_artery_cava_sac_iliac'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('10_structure_lateral_anterior_median'), np.str_('9_urethra_dvc_edge_'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('0_vein_veins_complex_dorsal'), np.str_('3_tissue_adrenal_gland_node')]"
hecvl,instrument,0.8348836525950519,0.6407910126992078,0.8436090179781097,0.8127990744616179,0.8436090179781097,0.8276849275523623,"[[   0    0    0    0    0    0    0   32    0    0    0    0]
 [   0    1    0    0    0    0    0   22    0    0    0    0]
 [   1    0    0    0    0    0    2   59    1    2    0    0]
 [   0    0    0    0    0    0    1   33    0    1    0    0]
 [   0    1    0    1    0    0    1   35    0    0    0    0]
 [   0    0    0    1    1    2    0   28    0    1    0    0]
 [   0    0    0    0    1    0    4   31    0    0    1    0]
 [  23   12   50   17   20   15   22 3409   10   39   15   12]
 [   0    0    0    0    0    0    0   20    0    1    0    0]
 [   0    0    1    0    0    1    1   63    1    2    0    0]
 [   0    0    1    0    0    0    0   30    0    0    1    0]
 [   0    0    0    0    0    0    0   23    0    1    0    1]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('1_electrocautery_energy_devices_device'), np.str_('4_sucker_instrument_right_hand'), np.str_('2_needle_needles_sutures_clips'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('3_scissors_driver_scissor_needle'), np.str_('None'), np.str_('10_clip_foley_clips_weck'), np.str_('0_left_hand_camera_arm'), np.str_('6_4th_arm__'), np.str_('8_retractor_locking_liver_alice')]"
hecvl,action,0.3445121459310939,0.5815080424941089,0.37283534341203783,0.3329601278367659,0.37283534341203783,0.3499378120421275,"[[1 0 1 ... 2 0 1]
 [0 0 0 ... 2 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [0 1 1 ... 1 0 0]
 [1 0 0 ... 0 2 0]
 [0 0 0 ... 0 0 0]]","[np.str_('8_grab_swipe_scoop_lower'), np.str_('32_sure_make_know_check'), np.str_('21_find_care_connect_identify'), np.str_('31_pull_pulling_neutral_closing'), np.str_('20_in_ahead_inside_get'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('6_higher_slow_go_below'), np.str_('35_stick_get_not_defat'), np.str_('27_release_clip_releasing_sneak'), np.str_('29_work_zoom_working_focused'), np.str_('7_open_see_apply_completely'), np.str_('37_put_drain_cover_snip'), np.str_('34_move_wrist_smaller_hand'), np.str_('38_show_expose_present_define'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('1_pull_grab_drop_regrab'), np.str_('17_go_along_anchor_change'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('10_stop_wait_short_'), np.str_('4_take_watch_do_it'), np.str_('24_lift_hold_advance_up'), np.str_('2_back_travel_bit_little'), np.str_('36_look_control_inspect_examine'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('18_stay_right_keep_remain'), np.str_('15_through_don_do_strangulate'), np.str_('19_closer_close_let_come'), np.str_('14_off_leave_out_right'), np.str_('30_tie_break_hook_tuck'), np.str_('23_push_pull_more_tight'), np.str_('26_clean_follow_burn_coagulate'), np.str_('9_cut_cutting_cold_scrape'), np.str_('22_cinch_down_slide_over'), np.str_('33_retract_switch_bring_down'), np.str_('11_open_up_press_spread'), np.str_('5_side_lateral_the_other'), np.str_('28_start_run_top_from'), np.str_('12_turn_rotate_flip_round'), np.str_('13_careful_be_rip_gentle')]"
hecvl,tissue,0.7980022189065142,0.6883566142273768,0.816003296250515,0.7723801807214116,0.816003296250515,0.7909292128972732,"[[   7    0    0    1    0   75    1    0    0    0    0    0    0    1
     0]
 [   1    3    1    0    0   27    0    0    0    0    2    0    1    1
     1]
 [   0    2    0    0    0   20    0    0    0    0    1    0    0    0
     0]
 [   1    1    0    2    0   21    0    0    0    0    0    0    0    0
     0]
 [   0    0    0    0    4   21    0    0    0    0    0    0    0    0
     0]
 [  33   11    7   11   14 3270   15   11   11   10   22   20   18   36
    16]
 [   0    0    0    0    0   31    0    0    0    0    0    2    0    0
     0]
 [   0    0    0    0    0   20    0    0    0    0    0    0    1    0
     0]
 [   1    0    1    0    0   28    0    0    2    0    1    0    0    0
     0]
 [   1    0    0    0    0   23    0    0    1    0    0    0    0    0
     0]
 [   0    1    1    0    1   21    0    0    0    0    5    0    0    0
     0]
 [   0    0    0    0    0   40    0    0    0    0    0    2    0    0
     0]
 [   0    0    0    0    0   40    0    1    0    0    0    0    8    0
     0]
 [   1    0    0    0    0   72    0    0    0    0    0    0    0    1
     0]
 [   1    0    1    0    0   38    1    0    0    0    0    0    0    2
     0]]","[np.str_('6_prostate_side_apex_apical'), np.str_('5_bladder_catheter_on_needle'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('None'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('14_artery_cava_sac_iliac'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('10_structure_lateral_anterior_median'), np.str_('9_urethra_dvc_edge_'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('0_vein_veins_complex_dorsal'), np.str_('3_tissue_adrenal_gland_node')]"
peskavlp,instrument,0.8322693037255033,0.6190780022383324,0.841883363017765,0.814006157503159,0.841883363017765,0.8271124679257216,"[[   0    0    0    0    0    1    0   31    0    0    0    0]
 [   0    1    0    0    0    0    0   21    0    1    0    0]
 [   0    0    1    0    0    0    2   60    1    1    0    0]
 [   0    1    0    0    0    1    0   33    0    0    0    0]
 [   0    0    0    0    2    1    1   34    0    0    0    0]
 [   0    0    0    1    0    2    0   30    0    0    0    0]
 [   0    0    1    0    1    0    3   31    1    0    0    0]
 [  27   14   44   16   18   23   18 3402   13   47   11   11]
 [   0    0    1    0    0    0    0   20    0    0    0    0]
 [   0    0    1    0    0    1    0   65    1    1    0    0]
 [   1    0    1    0    0    0    1   29    0    0    0    0]
 [   0    0    1    0    0    0    0   22    0    0    1    1]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('1_electrocautery_energy_devices_device'), np.str_('4_sucker_instrument_right_hand'), np.str_('2_needle_needles_sutures_clips'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('3_scissors_driver_scissor_needle'), np.str_('None'), np.str_('10_clip_foley_clips_weck'), np.str_('0_left_hand_camera_arm'), np.str_('6_4th_arm__'), np.str_('8_retractor_locking_liver_alice')]"
peskavlp,action,0.34272872870777504,0.5824655852480817,0.3771207745880754,0.33458364011897473,0.3771207745880754,0.3525810127644539,"[[2 1 0 ... 0 0 1]
 [0 0 0 ... 1 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 2 0 ... 0 0 0]
 [0 0 0 ... 0 2 0]
 [0 0 0 ... 0 1 1]]","[np.str_('8_grab_swipe_scoop_lower'), np.str_('32_sure_make_know_check'), np.str_('21_find_care_connect_identify'), np.str_('31_pull_pulling_neutral_closing'), np.str_('20_in_ahead_inside_get'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('6_higher_slow_go_below'), np.str_('35_stick_get_not_defat'), np.str_('27_release_clip_releasing_sneak'), np.str_('29_work_zoom_working_focused'), np.str_('7_open_see_apply_completely'), np.str_('37_put_drain_cover_snip'), np.str_('34_move_wrist_smaller_hand'), np.str_('38_show_expose_present_define'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('1_pull_grab_drop_regrab'), np.str_('17_go_along_anchor_change'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('10_stop_wait_short_'), np.str_('4_take_watch_do_it'), np.str_('24_lift_hold_advance_up'), np.str_('2_back_travel_bit_little'), np.str_('36_look_control_inspect_examine'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('18_stay_right_keep_remain'), np.str_('15_through_don_do_strangulate'), np.str_('19_closer_close_let_come'), np.str_('14_off_leave_out_right'), np.str_('30_tie_break_hook_tuck'), np.str_('23_push_pull_more_tight'), np.str_('26_clean_follow_burn_coagulate'), np.str_('9_cut_cutting_cold_scrape'), np.str_('22_cinch_down_slide_over'), np.str_('33_retract_switch_bring_down'), np.str_('11_open_up_press_spread'), np.str_('5_side_lateral_the_other'), np.str_('28_start_run_top_from'), np.str_('12_turn_rotate_flip_round'), np.str_('13_careful_be_rip_gentle')]"
peskavlp,tissue,0.7915634158825758,0.6784911623763596,0.8105748599856553,0.7669782316791903,0.8105748599856553,0.787117181968015,"[[   9    0    0    1    0   75    0    0    0    0    0    0    0    0
     0]
 [   1    0    0    2    0   30    0    0    0    0    3    0    0    1
     0]
 [   0    0    0    0    0   20    0    0    0    0    2    0    0    0
     1]
 [   1    1    0    2    0   21    0    0    0    0    0    0    0    0
     0]
 [   0    0    0    0    1   24    0    0    0    0    0    0    0    0
     0]
 [  42   16    8   10   12 3246   14   10   16   14   18   25   20   31
    23]
 [   0    0    0    0    0   30    1    0    1    0    0    1    0    0
     0]
 [   0    1    0    0    0   19    0    0    0    0    0    0    1    0
     0]
 [   1    0    0    0    0   29    1    0    1    1    0    0    0    0
     0]
 [   1    0    0    0    0   22    0    0    0    2    0    0    0    0
     0]
 [   0    1    0    0    0   23    0    0    0    0    4    0    0    1
     0]
 [   0    0    0    0    0   37    0    0    0    0    0    5    0    0
     0]
 [   0    0    0    0    0   42    0    1    0    0    0    0    6    0
     0]
 [   0    0    0    0    0   72    0    0    0    0    0    0    0    2
     0]
 [   0    0    1    0    0   39    0    0    0    0    0    0    0    0
     3]]","[np.str_('6_prostate_side_apex_apical'), np.str_('5_bladder_catheter_on_needle'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('None'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('14_artery_cava_sac_iliac'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('10_structure_lateral_anterior_median'), np.str_('9_urethra_dvc_edge_'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('0_vein_veins_complex_dorsal'), np.str_('3_tissue_adrenal_gland_node')]"
