model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
peskavlp,instrument,0.34516046701987463,0.7019832181244826,0.3402298850574713,0.3438912632437788,0.3402298850574713,0.3380220279235479,"[[ 6  4  5  4  2  3  3  0]
 [ 3  5  5  7  0  6  2  2]
 [ 3  1 37 16  4 16 11  3]
 [ 5  6 12 45  6 19  5 20]
 [ 1  0  5  7  2  5  3  4]
 [ 6  5 24 16  4 23 12 10]
 [ 7  3 19 10  1  5 16 10]
 [ 2  1  4 18  5 12 12 64]]","[np.str_('surgical_scissors'), np.str_('retractor_device'), np.str_('energy_device'), np.str_('hand_control'), np.str_('clip_device'), np.str_('None'), np.str_('auxiliary_arm'), np.str_('suturing_tools')]"
peskavlp,action,0.20083146331426324,0.6264951713310136,0.20681943093899297,0.1996773268541288,0.20681943093899297,0.20036090058588835,"[[23 18  2  4  3  4  9  7  0  0  9  1  1  1  4  1]
 [10 32 10  6  7 16 10 15  6  5 20  2  8  0  9  4]
 [ 2  8 12  1  0  2  2  0  1  2 13  2  3  1  2  0]
 [ 5 10  0  6  2  5  6  7  1  1 10  0  1  0  2  1]
 [ 3  8  0  2  2  1  0  4  0  1  2  1  0  0  1  0]
 [ 6 21  5  8  1  4  5 13  2  3 15  2  4  1  4  6]
 [11  9  1  1  0  3 23  5  1  2  5  4  0  1  3  0]
 [ 3 11  2  7  1 10  3 38  3  3  9  3  3  3  5  2]
 [ 1  6  0  1  1  1  1  0  2  4  6  2  2  1  2  1]
 [ 1  7  1  1  2  4  1  2  4  5  4  0  0  0  0  1]
 [ 9 21 13 11  1 12  5 11  2  2 43  2  8  4  4  3]
 [ 0  5  3  1  1  3  3 10  3  0  3  4  2  0  1  0]
 [ 2  8  4  0  0  3  2  2  4  0  9  1 18  0  3  0]
 [ 0  4  1  1  0  2  2  2  1  0  6  0  0  3  2  2]
 [ 3 13  3  1  1  4  4  6  1  2  8  1  4  0  5  1]
 [ 3  8  0  1  1  7  0  6  1  2  5  0  0  1  0  5]]","[np.str_('coagulate'), np.str_('navigate_position'), np.str_('rotate_turn'), np.str_('ensure_safety'), np.str_('dissect_clean'), np.str_('None'), np.str_('sweeping_maneuvers'), np.str_('open_spread'), np.str_('continue_action'), np.str_('release_instrument'), np.str_('grip_hold'), np.str_('inspect'), np.str_('traction_retract'), np.str_('adjust_fix'), np.str_('interrupt_action'), np.str_('cut_divide')]"
peskavlp,tissue,0.3627258300886534,0.7292944132734898,0.37088028744079693,0.3538268428846458,0.37088028744079693,0.3535688137621258,"[[29  0  5  0  0  1  7  2  2  3]
 [ 0 10  1  7  1  0  2  4 13  2]
 [ 2  0 13  7  1  7 13  4 20 15]
 [ 0  4  3 10  1  3  3  7  5  5]
 [ 2  2  0  1  8  0  1  3  4  7]
 [ 0  1  5  4  0  7  5  0  7  0]
 [ 8  1 15  6  2  2 85 15 18  7]
 [ 5  5  7  8  4  5 19  8 31  8]
 [ 0  4  7  6  3  4 19 17 78 24]
 [ 5  1  8  5  5  0  8  3 15 42]]","[np.str_('seminal_vesicle_vas'), np.str_('gastrointestinal_tract'), np.str_('miscellaneous'), np.str_('fat_fascial_peritoneal_planes'), np.str_('muscular_capsular_structures'), np.str_('retroperitoneal_structures'), np.str_('vascular_neurovascular_structures'), np.str_('None'), np.str_('urinary_tract'), np.str_('prostate')]"
