model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels
surgvlp,instrument,0.8319214543531721,0.6251586809516549,0.84780533101947,0.8162027753413567,0.84780533101947,0.8311064689879171,"[[   0    0    1    0    0    0    0   30    0    0    1    0]
 [   0    2    0    1    0    0    0   20    0    0    0    0]
 [   0    0    2    0    0    0    0   62    1    0    0    0]
 [   0    2    0    1    0    1    1   29    0    1    0    0]
 [   0    2    0    0    1    1    1   33    0    0    0    0]
 [   0    0    0    1    0    3    0   29    0    0    0    0]
 [   0    0    0    0    1    0    3   32    0    0    1    0]
 [  18   14   30   30   16   26   21 3422    8   33   13   13]
 [   0    0    1    0    0    0    1   19    0    0    0    0]
 [   0    0    0    0    0    0    0   67    1    1    0    0]
 [   2    0    0    0    2    0    1   26    0    0    1    0]
 [   0    0    0    0    0    0    0   24    0    0    0    1]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('1_electrocautery_energy_devices_device'), np.str_('4_sucker_instrument_right_hand'), np.str_('2_needle_needles_sutures_clips'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('3_scissors_driver_scissor_needle'), np.str_('None'), np.str_('10_clip_foley_clips_weck'), np.str_('0_left_hand_camera_arm'), np.str_('6_4th_arm__'), np.str_('8_retractor_locking_liver_alice')]"
surgvlp,action,0.3284932326683363,0.5717312366764278,0.36996829171621093,0.3261735586233329,0.36996829171621093,0.3453187225811085,"[[2 0 0 ... 1 0 0]
 [0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 1 0 0]
 [0 0 0 ... 0 2 0]
 [1 0 1 ... 0 0 1]]","[np.str_('8_grab_swipe_scoop_lower'), np.str_('32_sure_make_know_check'), np.str_('21_find_care_connect_identify'), np.str_('31_pull_pulling_neutral_closing'), np.str_('20_in_ahead_inside_get'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('6_higher_slow_go_below'), np.str_('35_stick_get_not_defat'), np.str_('27_release_clip_releasing_sneak'), np.str_('29_work_zoom_working_focused'), np.str_('7_open_see_apply_completely'), np.str_('37_put_drain_cover_snip'), np.str_('34_move_wrist_smaller_hand'), np.str_('38_show_expose_present_define'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('1_pull_grab_drop_regrab'), np.str_('17_go_along_anchor_change'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('10_stop_wait_short_'), np.str_('4_take_watch_do_it'), np.str_('24_lift_hold_advance_up'), np.str_('2_back_travel_bit_little'), np.str_('36_look_control_inspect_examine'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('18_stay_right_keep_remain'), np.str_('15_through_don_do_strangulate'), np.str_('19_closer_close_let_come'), np.str_('14_off_leave_out_right'), np.str_('30_tie_break_hook_tuck'), np.str_('23_push_pull_more_tight'), np.str_('26_clean_follow_burn_coagulate'), np.str_('9_cut_cutting_cold_scrape'), np.str_('22_cinch_down_slide_over'), np.str_('33_retract_switch_bring_down'), np.str_('11_open_up_press_spread'), np.str_('5_side_lateral_the_other'), np.str_('28_start_run_top_from'), np.str_('12_turn_rotate_flip_round'), np.str_('13_careful_be_rip_gentle')]"
surgvlp,tissue,0.7885803890536274,0.6494764445563121,0.8165041432037723,0.7710809092640004,0.8165041432037723,0.7891887303717358,"[[   7    0    1    0    0   77    0    0    0    0    0    0    0    0
     0]
 [   1    0    0    1    0   33    0    0    0    0    2    0    0    0
     0]
 [   0    0    0    0    0   23    0    0    0    0    0    0    0    0
     0]
 [   1    1    0    2    0   21    0    0    0    0    0    0    0    0
     0]
 [   0    0    1    0    3   21    0    0    0    0    0    0    0    0
     0]
 [  31   15    9   11   11 3274   10   19   14   13   10   16   33   29
    10]
 [   0    0    0    0    0   33    0    0    0    0    0    0    0    0
     0]
 [   0    0    0    0    0   20    0    0    0    0    0    0    1    0
     0]
 [   0    0    0    0    0   31    0    0    2    0    0    0    0    0
     0]
 [   1    0    0    0    0   23    0    0    0    0    0    0    0    0
     1]
 [   0    2    1    0    0   22    0    0    0    0    4    0    0    0
     0]
 [   0    0    0    0    0   39    0    0    0    0    0    3    0    0
     0]
 [   0    0    0    0    0   44    0    0    0    0    0    0    5    0
     0]
 [   0    0    0    0    0   69    0    0    0    0    0    0    0    5
     0]
 [   1    0    0    0    0   39    1    0    0    0    0    0    1    0
     1]]","[np.str_('6_prostate_side_apex_apical'), np.str_('5_bladder_catheter_on_needle'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('None'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('14_artery_cava_sac_iliac'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('10_structure_lateral_anterior_median'), np.str_('9_urethra_dvc_edge_'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('0_vein_veins_complex_dorsal'), np.str_('3_tissue_adrenal_gland_node')]"
hecvl,instrument,0.8296876291303444,0.6272868986994038,0.8465637606369214,0.8155395754408896,0.8465637606369214,0.8297048665240971,"[[   0    0    0    0    0    1    0   31    0    0    0    0]
 [   0    2    0    1    0    1    0   19    0    0    0    0]
 [   1    1    0    0    0    0    1   60    0    2    0    0]
 [   0    0    0    1    0    0    1   32    0    1    0    0]
 [   1    1    0    0    1    1    1   33    0    0    0    0]
 [   1    0    0    2    0    0    0   30    0    0    0    0]
 [   0    0    0    0    0    0    2   34    0    0    1    0]
 [  25   11   38   18   18   20   16 3421    7   43   17   10]
 [   0    0    1    0    0    0    0   20    0    0    0    0]
 [   0    0    0    0    0    0    1   64    0    4    0    0]
 [   0    0    2    0    0    0    0   29    0    0    1    0]
 [   0    0    0    0    0    0    0   24    0    1    0    0]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('1_electrocautery_energy_devices_device'), np.str_('4_sucker_instrument_right_hand'), np.str_('2_needle_needles_sutures_clips'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('3_scissors_driver_scissor_needle'), np.str_('None'), np.str_('10_clip_foley_clips_weck'), np.str_('0_left_hand_camera_arm'), np.str_('6_4th_arm__'), np.str_('8_retractor_locking_liver_alice')]"
hecvl,action,0.33043111291167504,0.571353615939854,0.3690221391767171,0.3308311064271098,0.3690221391767171,0.34739766902131386,"[[4 0 0 ... 2 1 1]
 [0 0 0 ... 1 0 1]
 [0 0 0 ... 0 0 0]
 ...
 [1 1 0 ... 1 0 0]
 [0 0 0 ... 0 2 0]
 [3 1 0 ... 0 0 0]]","[np.str_('8_grab_swipe_scoop_lower'), np.str_('32_sure_make_know_check'), np.str_('21_find_care_connect_identify'), np.str_('31_pull_pulling_neutral_closing'), np.str_('20_in_ahead_inside_get'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('6_higher_slow_go_below'), np.str_('35_stick_get_not_defat'), np.str_('27_release_clip_releasing_sneak'), np.str_('29_work_zoom_working_focused'), np.str_('7_open_see_apply_completely'), np.str_('37_put_drain_cover_snip'), np.str_('34_move_wrist_smaller_hand'), np.str_('38_show_expose_present_define'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('1_pull_grab_drop_regrab'), np.str_('17_go_along_anchor_change'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('10_stop_wait_short_'), np.str_('4_take_watch_do_it'), np.str_('24_lift_hold_advance_up'), np.str_('2_back_travel_bit_little'), np.str_('36_look_control_inspect_examine'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('18_stay_right_keep_remain'), np.str_('15_through_don_do_strangulate'), np.str_('19_closer_close_let_come'), np.str_('14_off_leave_out_right'), np.str_('30_tie_break_hook_tuck'), np.str_('23_push_pull_more_tight'), np.str_('26_clean_follow_burn_coagulate'), np.str_('9_cut_cutting_cold_scrape'), np.str_('22_cinch_down_slide_over'), np.str_('33_retract_switch_bring_down'), np.str_('11_open_up_press_spread'), np.str_('5_side_lateral_the_other'), np.str_('28_start_run_top_from'), np.str_('12_turn_rotate_flip_round'), np.str_('13_careful_be_rip_gentle')]"
hecvl,tissue,0.7900022836850071,0.6663261813384269,0.8071079979856247,0.765393365026106,0.8071079979856247,0.7840520297490275,"[[   7    1    0    1    0   74    1    0    0    0    1    0    0    0
     0]
 [   1    2    1    2    1   27    0    0    0    0    2    0    1    0
     0]
 [   0    0    1    0    0   19    0    0    0    0    2    0    0    0
     1]
 [   1    0    0    2    0   22    0    0    0    0    0    0    0    0
     0]
 [   0    0    0    0    1   24    0    0    0    0    0    0    0    0
     0]
 [  44   16   10   12   18 3239   22   11   17   20   18   13   26   25
    14]
 [   1    0    0    0    0   28    1    0    1    0    0    1    0    0
     1]
 [   0    0    0    0    0   18    0    0    0    0    0    0    2    1
     0]
 [   0    0    1    0    0   30    0    0    1    1    0    0    0    0
     0]
 [   2    0    0    0    1   21    0    0    0    1    0    0    0    0
     0]
 [   0    0    0    0    1   23    0    0    1    0    4    0    0    0
     0]
 [   0    0    0    0    0   40    0    0    0    0    0    2    0    0
     0]
 [   0    0    0    0    0   43    0    1    0    0    0    0    5    0
     0]
 [   0    0    0    0    0   74    0    0    0    0    0    0    0    0
     0]
 [   0    0    1    0    0   38    1    0    0    0    0    0    1    0
     2]]","[np.str_('6_prostate_side_apex_apical'), np.str_('5_bladder_catheter_on_needle'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('None'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('14_artery_cava_sac_iliac'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('10_structure_lateral_anterior_median'), np.str_('9_urethra_dvc_edge_'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('0_vein_veins_complex_dorsal'), np.str_('3_tissue_adrenal_gland_node')]"
peskavlp,instrument,0.8301522234802372,0.6130832037125993,0.8505131600980349,0.8165628849441271,0.8505131600980349,0.8325762248028472,"[[   0    0    0    0    0    1    0   31    0    0    0    0]
 [   0    2    0    0    0    0    0   18    0    1    2    0]
 [   0    0    1    0    0    0    2   61    1    0    0    0]
 [   0    0    0    1    0    1    0   33    0    0    0    0]
 [   0    1    0    0    1    1    1   34    0    0    0    0]
 [   0    0    0    1    0    1    0   28    0    3    0    0]
 [   0    0    2    0    1    0    4   27    1    0    1    1]
 [  21   11   42   12   23   22   15 3434    8   32   13   11]
 [   0    0    1    0    0    0    0   19    1    0    0    0]
 [   0    0    0    0    0    0    0   66    1    2    0    0]
 [   2    0    0    0    0    0    0   29    0    0    1    0]
 [   0    0    0    0    0    0    0   25    0    0    0    0]]","[np.str_('7_fourth_arm_tenaculum_stitch'), np.str_('9_suture_suction_prograsp_perforator'), np.str_('1_electrocautery_energy_devices_device'), np.str_('4_sucker_instrument_right_hand'), np.str_('2_needle_needles_sutures_clips'), np.str_('5_stitch_thinpoint_vicyl_chromic'), np.str_('3_scissors_driver_scissor_needle'), np.str_('None'), np.str_('10_clip_foley_clips_weck'), np.str_('0_left_hand_camera_arm'), np.str_('6_4th_arm__'), np.str_('8_retractor_locking_liver_alice')]"
peskavlp,action,0.3398528819915977,0.5750978515767263,0.37449719721420077,0.333102996104689,0.37449719721420077,0.34994248193854083,"[[2 0 1 ... 0 0 1]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 1 0 0]
 ...
 [0 1 0 ... 1 0 0]
 [0 0 0 ... 0 2 0]
 [1 0 0 ... 0 0 0]]","[np.str_('8_grab_swipe_scoop_lower'), np.str_('32_sure_make_know_check'), np.str_('21_find_care_connect_identify'), np.str_('31_pull_pulling_neutral_closing'), np.str_('20_in_ahead_inside_get'), np.str_('3_buzz_buzzing_not_frindge'), np.str_('6_higher_slow_go_below'), np.str_('35_stick_get_not_defat'), np.str_('27_release_clip_releasing_sneak'), np.str_('29_work_zoom_working_focused'), np.str_('7_open_see_apply_completely'), np.str_('37_put_drain_cover_snip'), np.str_('34_move_wrist_smaller_hand'), np.str_('38_show_expose_present_define'), np.str_('16_going_keep_continue_following'), np.str_('None'), np.str_('1_pull_grab_drop_regrab'), np.str_('17_go_along_anchor_change'), np.str_('0_sweep_shorter_buzz_sweeping'), np.str_('10_stop_wait_short_'), np.str_('4_take_watch_do_it'), np.str_('24_lift_hold_advance_up'), np.str_('2_back_travel_bit_little'), np.str_('36_look_control_inspect_examine'), np.str_('25_adjust_pinch_fix_readjust'), np.str_('18_stay_right_keep_remain'), np.str_('15_through_don_do_strangulate'), np.str_('19_closer_close_let_come'), np.str_('14_off_leave_out_right'), np.str_('30_tie_break_hook_tuck'), np.str_('23_push_pull_more_tight'), np.str_('26_clean_follow_burn_coagulate'), np.str_('9_cut_cutting_cold_scrape'), np.str_('22_cinch_down_slide_over'), np.str_('33_retract_switch_bring_down'), np.str_('11_open_up_press_spread'), np.str_('5_side_lateral_the_other'), np.str_('28_start_run_top_from'), np.str_('12_turn_rotate_flip_round'), np.str_('13_careful_be_rip_gentle')]"
peskavlp,tissue,0.7881205244450761,0.6613090628885189,0.7952616398846313,0.76874483720621,0.7952616398846313,0.7800816762369813,"[[   9    1    0    2    0   71    1    0    0    0    0    0    0    1
     0]
 [   1    3    1    1    0   25    1    0    1    0    2    0    0    1
     1]
 [   0    0    0    0    0   21    0    0    1    0    0    0    0    0
     1]
 [   2    1    0    1    0   21    0    0    0    0    0    0    0    0
     0]
 [   0    0    0    1    2   22    0    0    0    0    0    0    0    0
     0]
 [  40   15   13   15   20 3186   21   11   27   16   17   21   24   56
    23]
 [   0    0    0    1    0   32    0    0    0    0    0    0    0    0
     0]
 [   0    0    0    0    0   17    0    0    0    1    0    0    2    1
     0]
 [   1    0    0    0    0   30    1    0    1    0    0    0    0    0
     0]
 [   0    0    0    0    1   22    0    0    0    2    0    0    0    0
     0]
 [   0    1    0    0    1   22    0    0    0    0    4    0    0    1
     0]
 [   1    0    0    0    0   34    0    0    0    0    0    5    0    2
     0]
 [   0    0    0    0    0   46    0    1    0    0    0    0    2    0
     0]
 [   0    0    0    0    0   68    0    0    1    1    0    0    0    4
     0]
 [   0    0    1    0    0   38    0    0    0    0    0    1    0    2
     1]]","[np.str_('6_prostate_side_apex_apical'), np.str_('5_bladder_catheter_on_needle'), np.str_('13_posterior_urethra_bladder_neck'), np.str_('12_fat_fascia_abdominal_endopelvic'), np.str_('11_mucosa_mucosal_inner_edge'), np.str_('None'), np.str_('8_seminal_vesicles_vesicle_medial'), np.str_('14_artery_cava_sac_iliac'), np.str_('7_muscle_fibers_detrusor_capsule'), np.str_('10_structure_lateral_anterior_median'), np.str_('9_urethra_dvc_edge_'), np.str_('4_vessel_vessels_thicker_nerves'), np.str_('2_ureter_gonadal_upper_gondal'), np.str_('0_vein_veins_complex_dorsal'), np.str_('3_tissue_adrenal_gland_node')]"
